VmhNames,MetNames,MetaNetX,CHEBI,HMDB,SwissLipids,VMH,InChIkey,InChIkey2D
2aobut,(2S)-2-amino-3-oxobutanoate,MNXM114087,78948,HMDB0006454,,2aobut,SAUCHDKDCUROAO-VKHMYHEASA-N,SAUCHDKDCUROAO
2c23dh56dhoxin,leucodopachrome,MNXM2390,60872,HMDB0004067,,2c23dh56dhoxin,JDWYRSDDJVCWPB-LURJTMIESA-N,JDWYRSDDJVCWPB
2coum,trans-2-coumarate,MNXM1365942,12875,HMDB0002641,,2coum,PMOWTIHVNWZYFI-AATRIKPKSA-M,PMOWTIHVNWZYFI
2ddecdicoa,"trans,cis-Lauro-2,6-dienoyl-CoA",MNXM1372793,,HMDB0011123,,2ddecdicoa,ZSJRXHRCABOSNC-XRUZZFSQSA-N,ZSJRXHRCABOSNC
2decdicoa,"2,7-decadienoylcoa",MNXM1529726,,,,2decdicoa,ODTIINKLRKBVJH-HTDMBOJDSA-J,ODTIINKLRKBVJH
2docohexecoa,"2,7,10,13,16,19-Docosahexenoyl Coenzyme A",MNXM744410,,,,2docohexecoa,HGVXUTAEZALTIG-XHTFRJCKSA-J,HGVXUTAEZALTIG
2docopencoa,"2,7,10,13,16-docosapentenoylcoa",MNXM1529728,,,,2docopencoa,XSIBQUOFLNIVEK-RLBFCKMRSA-J,XSIBQUOFLNIVEK
2dodtricoa,"2,6,9-dodecatrienoylcoa",MNXM1529729,,,,2dodtricoa,XGHIPSZYSVQIHM-DWSVJOJPSA-J,XGHIPSZYSVQIHM
2dp6mep,2-methoxy-6-(all-trans-decaprenyl)phenol,MNXM4967,50774,HMDB0060250,,2dp6mep,FYLLWSGFAAQKHU-GBBROCKZSA-N,FYLLWSGFAAQKHU
2dp6mobq,"2-decaprenyl-6-methoxy-1,4-benzoquinone",MNXM9805,50773,HMDB0060248,,2dp6mobq,POYJNCVGTDCCPK-RDSVHMIISA-N,POYJNCVGTDCCPK
2dp6mobq_me,"2-decaprenyl-6-methoxy-3-methyl-1,4-benzoquinone",MNXM9803,50772,HMDB0060251,,2dp6mobq_me,DLBRMPAESNEOJM-RGIWONJESA-N,DLBRMPAESNEOJM
2dpmhobq,3-demethylubiquinone-10,MNXM741775,50771,,,2dpmhobq,ONGWDJKIJUAIOD-AVRCVIBKSA-N,ONGWDJKIJUAIOD
2dr1p,2-deoxy-alpha-D-ribose 1-phosphate,MNXM1108138,57259,HMDB0001351,,2dr1p,KBDKAJNTYKVSEK-VPENINKCSA-L,KBDKAJNTYKVSEK
2dr5p,2-deoxy-D-ribose 5-phosphate,MNXM1374458,62877,,,2dr5p,KKZFLSZAWCYPOC-PYHARJCCSA-L,KKZFLSZAWCYPOC
2h3mv,"(2R,3R)-2-hydroxy-3-methylpentanoic acid",MNXM734626,89228,HMDB0000317,,2h3mv,RILPIWOPNGRASR-RFZPGFLSSA-N,RILPIWOPNGRASR
2hatvacid,ortho-hydroxyatorvastatin,MNXM159054,169599,HMDB0061015,,2hatvacid,CZBPKFICAYVHHM-UHFFFAOYSA-N,CZBPKFICAYVHHM
2hatvacidgluc,2-hydroxy-atorvastatin-acyl-glucuronide,MNXM744412,,,,2hatvacidgluc,XMAOEXNOMPWGAL-UHFFFAOYSA-N,XMAOEXNOMPWGAL
2hatvlac,2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone,MNXM744413,,,,2hatvlac,MNECBMZJZFGTIK-UHFFFAOYSA-N,MNECBMZJZFGTIK
2hatvlacgluc,2-hydroxy-atorvastatin-lactone-glucuronide,MNXM744414,,,,2hatvlacgluc,UQYKEINTTVQWJT-UHFFFAOYSA-N,UQYKEINTTVQWJT
2hb,(2S)-hydroxybutanoate,MNXM1364762,73709,HMDB0000008,,2hb,AFENDNXGAFYKQO-VKHMYHEASA-M,AFENDNXGAFYKQO
2hexdtetcoa,"2,7,10,13-hexadecatetraenoylcoa",MNXM1529730,,,,2hexdtetcoa,GIKPDPXCUAJUFG-AEFROKCXSA-J,GIKPDPXCUAJUFG
